#SampleID	sex
700105272	male
700105273	male
700105274	male
700105307	male
700105308	male
700105309	male
700105310	male
700105312	male
700105315	male
700105322	male
700105355	male
700105356	male
700105358	male
700105359	male
700105360	male
700105361	male
700105362	male
700105364	male
700105365	male
700105366	male
700105367	male
700105370	male
700105403	female
700105404	female
700105405	female
700105406	female
700105407	female
700105409	female
700105410	female
700105411	female
700105415	female
700105416	female
700105417	female
700105418	female
700105419	female
700105421	female
700105460	female
700105461	female
700105462	female
700105467	female
700105468	female
700105469	female
700105470	female
700105471	female
700105472	female
700105473	female
700105475	female
700105476	female
700105518	male
700105519	male
700105569	male
700105572	male
700105573	male
700105575	male
700105578	male
700105579	male
700105580	male
700105613	female
700105614	female
700105615	female
700105616	female
700105617	female
700105619	female
700105620	female
700105621	female
700105623	female
700105624	female
700105625	female
700105626	female
700105627	female
700105628	female
700105629	female
700105630	female
700105667	female
700105669	female
700105670	female
700105671	female
700105672	female
700105673	female
700105674	female
700105675	female
700105676	female
700105677	female
700105678	female
700105681	female
700105682	female
700105683	female
700105684	female
700105685	female
700105724	male
700105726	male
700105727	male
700105728	male
700105729	male
700105730	male
700105731	male
700105732	male
700105733	male
700105735	male
700105738	male
700105739	male
700105772	female
700105773	female
700105774	female
700105775	female
700105776	female
700105778	female
700105780	female
700105782	female
700105783	female
700105784	female
700105785	female
700105786	female
700105787	female
700105789	female
700105790	female
700105829	male
700105830	male
700105833	male
700105834	male
700105835	male
700105837	male
700105838	male
700105839	male
700105840	male
700105841	male
700105842	male
700105843	male
700105844	male
700105877	male
700105878	male
700105879	male
700105880	male
700105881	male
700105882	male
700105883	male
700105885	male
700105886	male
700105887	male
700105888	male
700105889	male
700105890	male
700105891	male
700105892	male
700105925	male
700105927	male
700105928	male
700105931	male
700105932	male
700105934	male
700105935	male
700105936	male
700105973	female
700105975	female
700105976	female
700105977	female
700105978	female
700105979	female
700105980	female
700105981	female
700105982	female
700105983	female
700105984	female
700105985	female
700105986	female
700105987	female
700105988	female
700105989	female
700105990	female
700105991	female
700106000	female
700106002	female
700106003	female
700106004	female
700106005	female
700106006	female
700106008	female
700106009	female
700106010	female
700106011	female
700106012	female
700106015	female
700106016	female
700106017	female
700106018	female
700106057	female
700106058	female
700106061	female
700106062	female
700106063	female
700106064	female
700106065	female
700106066	female
700106068	female
700106069	female
700106070	female
700106071	female
700106072	female
700106073	female
700106074	female
700106075	female
700106114	female
700106115	female
700106118	female
700106120	female
700106132	female
700106171	male
700106172	male
700106173	male
700106174	male
700106229	female
700106230	female
700106231	female
700106233	female
700106286	female
700106287	female
700106288	female
700106289	female
700106291	female
700106333	male
700106338	male
700106339	male
700106341	male
700106342	male
700106343	male
700106344	male
700106345	male
700106346	male
700106347	male
700106348	male
700106397	male
700106399	male
700106400	male
700106401	male
700106402	male
700106403	male
700106404	male
700106405	male
700106406	male
700106407	male
700106408	male
700106409	male
700106410	male
700106411	male
700106412	male
700106429	female
700106430	female
700106431	female
700106437	female
700106486	female
700106487	female
700106488	female
700106489	female
700106490	female
700106491	female
700106492	female
700106493	female
700106494	female
700106496	female
700106497	female
700106498	female
700106499	female
700106500	female
700106502	female
700106503	female
700106504	female
700106543	female
700106544	female
700106545	female
700106546	female
700106547	female
700106548	female
700106549	female
700106551	female
700106552	female
700106554	female
700106555	female
700106556	female
700106557	female
700106558	female
700106559	female
700106560	female
700106561	female
700106600	male
700106602	male
700106603	male
700106604	male
700106605	male
700106606	male
700106607	male
700106608	male
700106609	male
700106610	male
700106611	male
700106614	male
700106615	male
700106648	male
700106650	male
700106651	male
700106652	male
700106653	male
700106654	male
700106655	male
700106656	male
700106657	male
700106658	male
700106659	male
700106660	male
700106662	male
700106663	male
700106696	male
700106697	male
700106698	male
700106699	male
700106701	male
700106708	male
700106710	male
700106711	male
700106754	female
700106755	female
700106756	female
700106758	female
700106801	female
700106802	female
700106805	female
700106806	female
700106807	female
700106808	female
700106809	female
700106810	female
700106812	female
700106813	female
700106814	female
700106815	female
700106816	female
700106817	female
700106818	female
700106819	female
700106858	female
700106860	female
700106861	female
700106862	female
700106863	female
700106864	female
700106865	female
700106866	female
700106867	female
700106868	female
700106869	female
700106871	female
700106872	female
700106873	female
700106874	female
700106875	female
700106876	female
700106931	male
700106933	male
700106934	male
700106935	male
700106936	male
700106937	male
700106938	male
700106939	male
700106940	male
700106941	male
700106942	male
700106943	male
700106944	male
700106945	male
700106946	male
700106979	male
700106980	male
700106981	male
700106982	male
700106987	male
700106991	male
700106993	male
700107189	male
700107193	male
700107195	male
700107196	male
700107197	male
700107198	male
700107199	male
700107200	male
700107201	male
700107202	male
700107203	male
700107204	male
700107205	male
700107206	male
700107207	male
700107816	male
700107820	male
700107822	male
700107823	male
700107824	male
700107828	male
700107829	male
700107830	male
700107831	male
700107832	male
700107833	male
700107834	male
700107993	male
700107999	male
700108045	male
700108046	male
700108047	male
700108048	male
700108049	male
700108050	male
700108051	male
700108052	male
700108053	male
700108054	male
700108055	male
700108056	male
700108284	male
700108288	male
700108290	male
700108291	male
700108292	male
700108293	male
700108294	male
700108295	male
700108296	male
700108297	male
700108298	male
700108299	male
700108300	male
700108302	male
700108473	male
700108477	male
700108479	male
700108480	male
700108481	male
700108482	male
700108483	male
700108484	male
700108485	male
700108486	male
700108487	male
700108488	male
700108489	male
700108490	male
700108786	male
700108788	male
700108789	male
700108790	male
700108791	male
700108792	male
700108793	male
700108794	male
700108795	male
700108796	male
700108797	male
700108798	male
700108799	male
700108800	male
700108954	female
700108958	female
700108960	female
700108961	female
700108962	female
700108963	female
700108964	female
700108965	female
700108966	female
700108968	female
700108969	female
700108970	female
700108971	female
700108973	female
700108974	female
700109107	female
700109111	female
700109113	female
700109114	female
700109115	female
700109116	female
700109117	female
700109118	female
700109119	female
700109120	female
700109121	female
700109122	female
700109123	female
700109125	female
700109126	female
700109127	female
700109128	female
700109230	female
700109234	female
